Sample name	Total reads	Percent mapped	Percent paired	Percent singletons	Fraction with mate mapped to different chr
PI_567387_finished.txt	146148101	99.28%	91.33%	0.19%	.05800038414457400305
PI_567516C_finished.txt	158553222	99.27%	91.60%	0.23%	.05164901663114736324
PI_567519_finished.txt	147712015	99.43%	92.38%	0.14%	.04410176111943229533
PI_567611_finished.txt	145497717	99.40%	91.26%	0.16%	.05531130086391664825
PI_567651_finished.txt	146340282	99.28%	91.56%	0.18%	.05687531748777141211
PI_567690_finished.txt	144996805	99.22%	91.12%	0.16%	.05423480882906350936
PI_567719_finished.txt	146553284	99.34%	91.82%	0.17%	.05578091310461524697
PI_567731_finished.txt	146021522	99.13%	91.02%	0.17%	.05692634815845844970
PI_591539_finished.txt	145844409	99.50%	93.29%	0.10%	.04183670832386862358
PI_593258_finished.txt	143597006	99.42%	91.77%	0.13%	.05057290679166388747
PI_594012_finished.txt	146204131	99.22%	92.17%	0.16%	.05149110321650213836
PI_594512A_finished.txt	165565238	99.44%	93.29%	0.16%	.04042501965297812092
PI_594599_finished.txt	149449828	99.25%	92.05%	0.22%	.05183809244665039025
PI_597387_finished.txt	149285901	99.33%	92.08%	0.23%	.05209293006176115720
PI_603154_finished.txt	144387351	99.33%	92.59%	0.16%	.04757933400966681631
PI_603170_finished.txt	144774805	99.16%	90.65%	0.18%	.06709277902325615289
PI_603175_finished.txt	163465751	99.16%	92.50%	0.16%	.04839832167656942401
PI_603176A_finished.txt	148548445	99.22%	92.19%	0.17%	.05353067142506944451
PI_603497_finished.txt	146425804	99.09%	91.51%	0.27%	.05572971277658137359
PI_605869A_finished.txt	145945456	99.25%	91.73%	0.25%	.05331591824277146388
PI_612611_finished.txt	176247147	99.24%	90.45%	0.20%	.05400245145528511732
PI_639740_finished.txt	146121114	99.16%	91.50%	0.22%	.05985527868340779279
PI_647086_finished.txt	149106537	99.36%	92.03%	0.16%	.04852868388996251720
PI_658519_finished.txt	147254064	99.27%	92.32%	0.15%	.05234529893857462568
S05-11482_finished.txt	183357957	99.16%	91.44%	0.15%	.05338596786394167775
S07-5049_finished.txt	145041179	98.95%	91.83%	0.15%	.05210087267699333856
S10-11227_finished.txt	195801752	99.18%	92.46%	0.12%	.04994518128724404876
V71-370_finished.txt	145425504	99.26%	92.12%	0.17%	.05199356228464575237
