SRR1737896_1.fastq.gz	2012CM7F040P07_R1_4.fastq.gz
SRR1737897_1.fastq.gz	2012CM7F040P07_R1_5.fastq.gz
SRR1737898_1.fastq.gz	2012CM7F040P07_R1_6.fastq.gz
SRR1737899_1.fastq.gz	2012CM7F040P07_R1_7.fastq.gz
SRR1737900_1.fastq.gz	2012CM7F040P07_R1_8.fastq.gz
SRR1737893_2.fastq.gz	2012CM7F040P07_R2_1.fastq.gz
SRR1737894_2.fastq.gz	2012CM7F040P07_R2_2.fastq.gz
SRR1737895_2.fastq.gz	2012CM7F040P07_R2_3.fastq.gz
SRR1737896_2.fastq.gz	2012CM7F040P07_R2_4.fastq.gz
SRR1737897_2.fastq.gz	2012CM7F040P07_R2_5.fastq.gz
SRR1737898_2.fastq.gz	2012CM7F040P07_R2_6.fastq.gz
SRR1737899_2.fastq.gz	2012CM7F040P07_R2_7.fastq.gz
SRR1737900_2.fastq.gz	2012CM7F040P07_R2_8.fastq.gz
SRR1737877_1.fastq.gz	2012CM8F030P02_R1_1.fastq.gz
SRR1737878_1.fastq.gz	2012CM8F030P02_R1_2.fastq.gz
SRR1737879_1.fastq.gz	2012CM8F030P02_R1_3.fastq.gz
SRR1737880_1.fastq.gz	2012CM8F030P02_R1_4.fastq.gz
SRR1737881_1.fastq.gz	2012CM8F030P02_R1_5.fastq.gz
SRR1737882_1.fastq.gz	2012CM8F030P02_R1_6.fastq.gz
SRR1737883_1.fastq.gz	2012CM8F030P02_R1_7.fastq.gz
SRR1737884_1.fastq.gz	2012CM8F030P02_R1_8.fastq.gz
SRR1737877_2.fastq.gz	2012CM8F030P02_R2_1.fastq.gz
SRR1737878_2.fastq.gz	2012CM8F030P02_R2_2.fastq.gz
SRR1737879_2.fastq.gz	2012CM8F030P02_R2_3.fastq.gz
SRR1737880_2.fastq.gz	2012CM8F030P02_R2_4.fastq.gz
SRR1737881_2.fastq.gz	2012CM8F030P02_R2_5.fastq.gz
SRR1737882_2.fastq.gz	2012CM8F030P02_R2_6.fastq.gz
SRR1737883_2.fastq.gz	2012CM8F030P02_R2_7.fastq.gz
SRR1737884_2.fastq.gz	2012CM8F030P02_R2_8.fastq.gz
SRR1737869_1.fastq.gz	2012CM8F030P07_R1_1.fastq.gz
SRR1737870_1.fastq.gz	2012CM8F030P07_R1_2.fastq.gz
SRR1737871_1.fastq.gz	2012CM8F030P07_R1_3.fastq.gz
SRR1737872_1.fastq.gz	2012CM8F030P07_R1_4.fastq.gz
SRR1737873_1.fastq.gz	2012CM8F030P07_R1_5.fastq.gz
SRR1737874_1.fastq.gz	2012CM8F030P07_R1_6.fastq.gz
SRR1737875_1.fastq.gz	2012CM8F030P07_R1_7.fastq.gz
SRR1737876_1.fastq.gz	2012CM8F030P07_R1_8.fastq.gz
